"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
紅尾鶇,Naumann's Thrush,Turdus naumanni,紅尾鶇,Turdus naumanni,LC,NATH,TUNA,dusthr1,28607,,紅尾鶇,红尾斑鸫,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/569681231/1200,©Allen Lyu,ML569681231
灰斑鶲,Gray-streaked Flycatcher,Muscicapa griseisticta,灰斑鶲,Muscicapa griseisticta,LC,GSFL,MUGR,gysfly1,28781,,灰紋鶲,灰纹鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/421109051/1200,©Yu-Wei (昱緯) LI (李),ML421109051
烏鶲,Dark-sided Flycatcher,Muscicapa sibirica,烏鶲,Muscicapa sibirica,LC,DSFL,MUSI,dasfly,28782,,烏鶲,乌鹟,鮮卑鶲,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/400630951/1200,©Po-Wei Chi,ML400630951
紅尾鶲,Ferruginous Flycatcher,Muscicapa ferruginea,紅尾鶲,Muscicapa ferruginea,LC,FEFL,MUFE,ferfly1,28789,,棕尾褐鶲,棕尾褐鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/152967861/1200,©Rui-Yang Ho,ML152967861
寬嘴鶲,Asian Brown Flycatcher,Muscicapa dauurica,寬嘴鶲,Muscicapa dauurica,LC,ABFL,MUDA,asbfly,28790,,北灰鶲,北灰鹟,,,,
褐胸鶲,Brown-breasted Flycatcher,Muscicapa muttui,褐胸鶲,Muscicapa muttui,LC,BBFL,MUMU,brbfly2,28797,,褐胸鶲,褐胸鹟,,,,
斑鶲,Spotted Flycatcher,Muscicapa striata,斑鶲,Muscicapa striata,LC,SPFL,MUST,spofly1,28818,,,斑鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/529779021/1200,©Cheng-Ru Tsai,ML529779021
鵲鴝,Oriental Magpie-Robin,Copsychus saularis,鵲鴝,Copsychus saularis,LC,ORMR OMRO,COSA,magrob,28997,,鵲鴝,鹊鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/421109051/1200,©Yu-Wei (昱緯) LI (李),ML421109051
白腰鵲鴝,White-rumped Shama,Copsychus malabaricus,白腰鵲鴝,Copsychus malabaricus,LC,WRSH,COMA,whrsha,29014,歸化種,白腰鵲鴝,白腰鹊鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/400630951/1200,©Po-Wei Chi,ML400630951
棕腹大仙鶲,Fujian Niltava,Niltava davidi,棕腹大仙鶲,Niltava davidi,LC,FUNI,NIDA,fujnil1,29059,,棕腹大仙鶲,棕腹大仙鹟,,,,
棕腹仙鶲,Rufous-bellied Niltava,Niltava sundara,棕腹仙鶲,Niltava sundara,LC,RBNI,NISU,rubnil1,29060,,棕腹仙鶲,棕腹仙鹟,,,,
棕腹藍仙鶲,Chinese Vivid Niltava,Niltava oatesi,棕腹藍仙鶲,Niltava oatesi,LC,CVNI LVNI,NIOA,vivnil2,29065,,棕腹藍仙鶲,棕腹蓝仙鹟,大黃腹琉璃,,,
黃腹琉璃,Taiwan Vivid Niltava,Niltava vivida,黃腹琉璃,Niltava vivida,LC,SVNI TVNI,NIVI,vivnil3,29067,,,台湾蓝仙鹟,黃腹琉璃鳥,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/529779021/1200,©Cheng-Ru Tsai,ML529779021
白腹琉璃,Blue-and-white Flycatcher,Cyanoptila cyanomelana,白腹琉璃,Cyanoptila cyanomelana,LC,BAWF,CYCY,bawfly2,29069,,白腹藍鶲,白腹蓝鹟,白腹姬鶲,,,
琉璃藍鶲,Zappey's Flycatcher,Cyanoptila cumatilis,琉璃藍鶲,Cyanoptila cumatilis,NT,ZAFL,CYCU,zapfly1,29072,,琉璃藍鶲,琉璃蓝鹟,,,,
銅藍鶲,Verditer Flycatcher,Eumyias thalassinus,銅藍鶲,Eumyias thalassinus,LC,VEFL,EUTH,verfly4,29088,,銅藍鶲,铜蓝鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/511706461/1200,©u7 Liao,ML511706461
海南藍仙鶲,Hainan Blue Flycatcher,Cyornis hainanus,海南藍仙鶲,Cyornis hainanus,LC,HBFL,CYHA,habfly1,29113,,海南藍仙鶲,海南蓝仙鹟,,,,
中華藍仙鶲,Chinese Blue Flycatcher,Cyornis glaucicomans,中華藍仙鶲,Cyornis glaucicomans,LC,CBFL,CYGL,butfly2,29130,,中華仙鶲,中华仙鹟,,,,
山藍仙鶲,Hill Blue Flycatcher,Cyornis whitei,山藍仙鶲,Cyornis whitei,LC,HBFL,CYWH,hibfly1,29134,,山藍仙鶲,山蓝仙鹟,,,,
白喉林鶲,Brown-chested Jungle Flycatcher,Cyornis brunneatus,白喉林鶲,Cyornis brunneatus,VU,BCJF,CYBR,bncjuf1,29179,,白喉林鶲,白喉林鹟,,,,
白喉短翅鶇,Lesser Shortwing,Brachypteryx leucophris,白喉短翅鶇,Brachypteryx leucophris,LC,LESH,BRLE,lessho1,29350,,白喉短翅鶇,白喉短翅鸫,,,,
小翼鶇,Taiwan Shortwing,Brachypteryx goodfellowi,小翼鶇,Brachypteryx goodfellowi,LC,TASH,BRGO,whbsho6,29359,,,台湾短翅鸫,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/147874871/1200,©SHIH-BIN TSAI,ML147874871
紅尾歌鴝,Rufous-tailed Robin,Larvivora sibilans,紅尾歌鴝,Larvivora sibilans,LC,RTRO,LASI,rutrob1,29377,,紅尾歌鴝,红尾歌鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/285975271/1200,©Ting-Wei (廷維) HUNG (洪),ML285975271
日本歌鴝,Japanese Robin,Larvivora akahige,日本歌鴝,Larvivora akahige,LC,JARO,LAAK,japrob2,29379,,日本歌鴝,日本歌鸲,鴝鳥,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/255848031/1200,©Ting-Wei (廷維) HUNG (洪),ML255848031
琉球歌鴝,Ryukyu Robin,Larvivora komadori,琉球歌鴝,Larvivora komadori,NT,RYRO,LAKO,ryurob2,29382,,,琉球歌鸲,琉球鴝鳥,,,
藍歌鴝,Siberian Blue Robin,Larvivora cyane,藍歌鴝,Larvivora cyane,LC,SBRO,LACY,sibrob,29388,,藍歌鴝,蓝歌鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/243222611/1200,©Cheng-Ru Tsai,ML243222611
藍喉鴝,Bluethroat,Luscinia svecica,藍喉鴝,Luscinia svecica,LC,BLUE,LUSV,blueth,29403,,藍喉歌鴝,蓝喉歌鸲,,,,
臺灣紫嘯鶇,Taiwan Whistling-Thrush,Myophonus insularis,臺灣紫嘯鶇,Myophonus insularis,LC,TWTH TAWT,MYIN,fowthr1,29425,,,台湾紫啸鸫,紫嘯鶇,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/136763321/1200,©u7 Liao,ML136763321
白斑紫嘯鶇,Blue Whistling-Thrush,Myophonus caeruleus,白斑紫嘯鶇,Myophonus caeruleus,LC,BLWT BWTH,MYCA,blwthr1,29426,,紫嘯鶇,紫啸鸫,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/305699521/1200,©Shih-Hao Wang,ML305699521
小剪尾,Little Forktail,Enicurus scouleri,小剪尾,Enicurus scouleri,LC,LIFO,ENSC,litfor1,29435,,小燕尾,小燕尾,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/255848031/1200,©Ting-Wei (廷維) HUNG (洪),ML255848031
野鴝,Siberian Rubythroat,Calliope calliope,野鴝,Calliope calliope,LC,SIRU,CACA,sibrub,29463,,紅喉歌鴝,红喉歌鸲,,,,
白尾鴝,White-tailed Robin,Myiomela leucura,白尾鴝,Myiomela leucura,LC,WTBR WTRO,MYLE,whtrob2,29470,,白尾藍地鴝,白尾蓝地鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/243222611/1200,©Cheng-Ru Tsai,ML243222611
藍尾鴝,Red-flanked Bluetail,Tarsiger cyanurus,藍尾鴝,Tarsiger cyanurus,LC,OFBR RFBL,TACY,refblu1,29480,,紅脇藍尾鴝,红胁蓝尾鸲,紅脅藍尾鴝,,,
臺灣白眉林鴝,Taiwan Bush-Robin,Tarsiger formosanus,臺灣白眉林鴝,Tarsiger formosanus,LC,TBRO TABR WBBR,TAFO,whbbur3,29491,,,台湾白眉林鸲,白眉林鴝,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/136763321/1200,©u7 Liao,ML136763321
栗背林鴝,Collared Bush-Robin,Tarsiger johnstoniae,栗背林鴝,Tarsiger johnstoniae,LC,CBRO COBR,TAJO,cobrob1,29495,,,台湾林鸲 (栗背林鸲),阿里山鴝,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618252566/1200,©Zhao-Hui(釗輝) LIN(林),ML618252566
白眉鶲,Yellow-rumped Flycatcher,Ficedula zanthopygia,白眉鶲,Ficedula zanthopygia,LC,YRFL,FIZA,korfly1,29498,,白眉姬鶲,白眉姬鹟,,,,
黃眉黃鶲,Narcissus Flycatcher,Ficedula narcissina,黃眉黃鶲,Ficedula narcissina,LC,NAFL,FINA,narfly2,29500,,黃眉姬鶲,黄眉姬鹟,,,,
琉球姬鶲,Ryukyu Flycatcher,Ficedula owstoni,琉球姬鶲,Ficedula owstoni,LC,RYFL,FIOW,narfly3,29501,,琉球姬鶲,琉球姬鹟,,,,
白眉黃鶲,Mugimaki Flycatcher,Ficedula mugimaki,白眉黃鶲,Ficedula mugimaki,LC,MUFL,FIMU,mugfly,29507,,鴝姬鶲,鸲姬鹟,,,,
鏽胸藍姬鶲,Slaty-backed Flycatcher,Ficedula erithacus,鏽胸藍姬鶲,Ficedula erithacus,LC,SBFL,FIER,slbfly1,29508,,銹胸藍姬鶲,锈胸蓝姬鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/103322051/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML103322051
黃胸青鶲,Snowy-browed Flycatcher,Ficedula hyperythra,黃胸青鶲,Ficedula hyperythra,LC,SBFL,FIHY,snbfly1,29515,,棕胸藍姬鶲,棕胸蓝姬鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618252566/1200,©Zhao-Hui(釗輝) LIN(林),ML618252566
橙胸姬鶲,Rufous-gorgeted Flycatcher,Ficedula strophiata,橙胸姬鶲,Ficedula strophiata,LC,RGFL,FIST,rugfly1,29533,,橙胸姬鶲,橙胸姬鹟,,,,
紅喉鶲,Taiga Flycatcher,Ficedula albicilla,紅喉鶲,Ficedula albicilla,LC,RTFL TAFL,FIAL,taifly1,29553,,紅喉姬鶲,红喉姬鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/617506559/1200,©Guan-Yuan Huang,ML617506559
紅胸鶲,Red-breasted Flycatcher,Ficedula parva,紅胸鶲,Ficedula parva,LC,RBFL,FIPA,rebfly,29555,,紅胸姬鶲,红胸姬鹟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/313439841/1200,©Jhih-Wei (志偉) TSAI (蔡),ML313439841
藍額紅尾鴝,Blue-fronted Redstart,Phoenicurus frontalis,藍額紅尾鴝,Phoenicurus frontalis,LC,BFRE,PHFR,blfred1,29599,,藍額紅尾鴝,蓝额红尾鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618658285/1200,©Po-Wei Chi,ML618658285
鉛色水鶇,Plumbeous Redstart,Phoenicurus fuliginosus,鉛色水鶇,Phoenicurus fuliginosus,LC,PLRE PLWR PWRE,PHFU,plured1,29600,,紅尾水鴝,红尾水鸲,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/103322051/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML103322051
白頂溪鴝,White-capped Redstart,Phoenicurus leucocephalus,白頂溪鴝,Phoenicurus leucocephalus,LC,WCRE WCWR,PHLE,whcred1,29605,,白頂溪鴝,白顶溪鸲,,,,
赭紅尾鴝,Black Redstart,Phoenicurus ochruros,赭紅尾鴝,Phoenicurus ochruros,LC,BLRE,PHOC,blared1,29617,,赭紅尾鴝,赭红尾鸲,,,,
黃尾鴝,Daurian Redstart,Phoenicurus auroreus,黃尾鴝,Phoenicurus auroreus,LC,DARE,PHAU,daured1,29630,,北紅尾鴝,北红尾鸲,,,,
白喉磯鶇,White-throated Rock-Thrush,Monticola gularis,白喉磯鶇,Monticola gularis,LC,WTRT,MOGU,wtrthr1,29638,,白喉磯鶇,白喉矶鸫,,,,
藍磯鶇,Blue Rock-Thrush,Monticola solitarius,藍磯鶇,Monticola solitarius,LC,BRTH BLRT,MOSO,burthr,29652,,藍磯鶇,蓝矶鸫,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618658285/1200,©Po-Wei Chi,ML618658285
黑喉鴝,Amur Stonechat,Saxicola stejnegeri,黑喉鴝,Saxicola stejnegeri,LC,SIST COST AMST ASST,SAST,stonec7,29688,,東亞石䳭,东亚石䳭,黑喉石䳭,,,
白斑黑石䳭,Pied Bushchat,Saxicola caprata,白斑黑石䳭,Saxicola caprata,LC,PIBU PBCH,SACA,piebus1,29711,暫定種,白斑黑石䳭,白斑黑石䳭,,,,
灰叢鴝,Gray Bushchat,Saxicola ferreus,灰叢鴝,Saxicola ferreus,LC,GBCH GRBU,SAFE,grybus1,29729,,灰林䳭,灰林䳭,,,,
穗䳭,Northern Wheatear,Oenanthe oenanthe,穗䳭,Oenanthe oenanthe,LC,NOWH,OEOE,norwhe,29783,,,穗䳭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/420357091/1200,©Scott (瑞興) LIN(林),ML420357091
沙䳭,Isabelline Wheatear,Oenanthe isabellina,沙䳭,Oenanthe isabellina,LC,ISWH,OEIS,isawhe1,29796,,,沙䳭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/578208391/1200,©Cheng-Ru Tsai,ML578208391
漠䳭,Desert Wheatear,Oenanthe deserti,漠䳭,Oenanthe deserti,LC,DEWH,OEDE,deswhe1,29799,,漠䳭,漠䳭,,,,
白頂䳭,Pied Wheatear,Oenanthe pleschanka,白頂䳭,Oenanthe pleschanka,LC,PIWH,OEPL,piewhe1,29808,,白頂䳭,白顶䳭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/563497111/1200,©Li-Kai Yen,ML563497111
黃連雀,Bohemian Waxwing,Bombycilla garrulus,黃連雀,Bombycilla garrulus,LC,BOWA,BOGA,bohwax,29885,,太平鳥,太平鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/285975111/1200,©Ting-Wei (廷維) HUNG (洪),ML285975111
朱連雀,Japanese Waxwing,Bombycilla japonica,朱連雀,Bombycilla japonica,NT,JAWA,BOJA,japwax1,29891,,小太平鳥,小太平鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/468676091/320,©Zhao-Hui(釗輝) LIN(林),ML468676091
綠啄花,Plain Flowerpecker,Dicaeum minullum,綠啄花,Dicaeum minullum,LC,PLFL,DIMI,plaflo2,30039,,純色啄花鳥,纯色啄花鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/190448631/1200,©Kun-Hui Lin,ML190448631
紅胸啄花,Fire-breasted Flowerpecker,Dicaeum ignipectus,紅胸啄花,Dicaeum ignipectus,LC,FBFL,DIIG,fibflo1,30090,,紅胸啄花鳥,红胸啄花鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/180173071/1200,©Jhih-Wei (志偉) TSAI (蔡),ML180173071
黃腹花蜜鳥,Ornate Sunbird,Cinnyris ornatus,黃腹花蜜鳥,Cinnyris ornatus,LC,ORSU OBSU,CIOR,olbsun4,30454,,黃腹花蜜鳥,黄腹花蜜鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618595912/1200,©u7 Liao,ML618595912
藍喉太陽鳥,Mrs. Gould's Sunbird,Aethopyga gouldiae,藍喉太陽鳥,Aethopyga gouldiae,LC,MGSU GOSU,AEGO,gousun1,30522,,藍喉太陽鳥,蓝喉太阳鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/407865051/1200,©Kun-Hui Lin,ML407865051
叉尾太陽鳥,Fork-tailed Sunbird,Aethopyga christinae,叉尾太陽鳥,Aethopyga christinae,LC,FTSU,AECH,fotsun1,30563,,叉尾太陽鳥,叉尾太阳鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/383751991/1200,©Cheng-Ru Tsai,ML383751991
黑頭織雀,Village Weaver,Ploceus cucullatus,黑頭織雀,Ploceus cucullatus,LC,VIWE,PLCU,vilwea1,30843,暫定種,,黑头织雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/167889791/320,©David Irving,ML167889791
白喉文鳥,Indian Silverbill,Euodice malabarica,白喉文鳥,Euodice malabarica,LC,INSI,EUMA,indsil,31065,歸化種,,白喉文鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/255070861/1200,©Ting-Wei (廷維) HUNG (洪),ML255070861
斑文鳥,Scaly-breasted Munia,Lonchura punctulata,斑文鳥,Lonchura punctulata,LC,SBMU,LOPU,nutman,31076,,斑文鳥,斑文鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/180173071/1200,©Jhih-Wei (志偉) TSAI (蔡),ML180173071
白腰文鳥,White-rumped Munia,Lonchura striata,白腰文鳥,Lonchura striata,LC,WRMU,LOST,whrmun,31095,,白腰文鳥,白腰文鸟,尖尾文鳥,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/460777461/320,©Liang-Hsien 亮賢 Chiang 江,ML460777461
黑頭文鳥,Chestnut Munia,Lonchura atricapilla,黑頭文鳥,Lonchura atricapilla,LC,CHMU,LOAT,chemun,31117,,栗腹文鳥,栗腹文鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/536834131/1200,©Cheng-Ru Tsai,ML536834131
橙頰梅花雀,Orange-cheeked Waxbill,Estrilda melpoda,橙頰梅花雀,Estrilda melpoda,LC,OCWA OCHW,ESME,orcwax,31288,歸化種,橙頰梅花雀,橙颊梅花雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/610025153/1200,©u7 Liao,ML610025153
橫斑梅花雀,Common Waxbill,Estrilda astrild,橫斑梅花雀,Estrilda astrild,LC,COWA COMW,ESAS,comwax,31298,暫定種,,梅花雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/167889791/320,©David Irving,ML167889791
岩鷚,Alpine Accentor,Prunella collaris,岩鷚,Prunella collaris,LC,ALAC,PRCO,alpacc1,31480,,,领岩鹨,領岩鷚,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/255070861/1200,©Ting-Wei (廷維) HUNG (洪),ML255070861
棕眉山岩鷚,Siberian Accentor,Prunella montanella,棕眉山岩鷚,Prunella montanella,LC,SIAC,PRMO,sibacc,31498,,,棕眉山岩鹨,,,,
家麻雀,House Sparrow,Passer domesticus,家麻雀,Passer domesticus,LC,HOSP,PADO,houspa,31534,暫定種,家麻雀,家麻雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/460777461/320,©Liang-Hsien 亮賢 Chiang 江,ML460777461
山麻雀,Russet Sparrow,Passer cinnamomeus,山麻雀,Passer cinnamomeus,LC,RUSP,PACI,russpa2,31564,,山麻雀,山麻雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/536834131/1200,©Cheng-Ru Tsai,ML536834131
麻雀,Eurasian Tree Sparrow,Passer montanus,麻雀,Passer montanus,LC,ETSP,PAMO,eutspa,31603,,樹麻雀,麻雀 (树麻雀),,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/610025153/1200,©u7 Liao,ML610025153
山鶺鴒,Forest Wagtail,Dendronanthus indicus,山鶺鴒,Dendronanthus indicus,LC,FOWA,DEIN,forwag1,31667,,山鶺鴒,山鹡鸰,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/611218580/1200,©Ting-Wei (廷維) HUNG (洪),ML611218580
灰鶺鴒,Gray Wagtail,Motacilla cinerea,灰鶺鴒,Motacilla cinerea,LC,GRWA GRAW,MOCI,grywag,31678,,灰鶺鴒,灰鹡鸰,,,,
